Run,Start Time,Stop Time,Elapsed time,Setup,Software Version,Output data format version,Concentrator 0,FPGA FW revision,SW revision,PID,Board 0,Model,uC FW revision,Board 1,Board 2,Board 3,Board 4,Board 5,Board 6,Board 7,Config file,Open[0] eth,Open[1] eth,Open[2] eth,Open[3] eth,Open[4] eth,Open[5] eth,Open[6] eth,Open[7] eth,HV_Vbias,HV_Imax,HV_Adjust_Range,HV_IndivAdj,TempSensType,TempFeedbackCoeff,EnableTempFeedback,StartRunMode,StopRunMode,EventBuildingMode,TstampCoincWindow,PresetTime,PresetCounts,JobFirstRun,JobLastRun,RunSleep,EnableJobs,RunNumber_AutoIncr,DataAnalysis,DataFilePath,OF_OutFileUnit,OF_EnMaxSize,OF_MaxSize,OF_ListLL,OF_ListBin,OF_ListAscii,OF_ListCSV,OF_Sync,OF_ServiceInfo,OF_RunInfo,OF_SpectHisto,OF_ToAHisto,OF_ToTHisto,OF_MCS,OF_Staircase,AcquisitionMode,EnableToT,BunchTrgSource,VetoSource,ValidationSource,ValidationMode,CountingMode,ChTrg_Width,EnableCntZeroSuppr,TrgIdMode,TriggerLogic,Tlogic_Width,MajorityLevel,PtrgPeriod,TrefSource,TrefWindow,TrefDelay,T0_Out,T1_Out,ChEnableMask0,ChEnableMask1,FastShaperInput,TD_CoarseThreshold,TD_FineThreshold,Hit_HoldOff,Tlogic_Mask0,Tlogic_Mask1,QD_CoarseThreshold,QD_FineThreshold,Q_DiscrMask0,Q_DiscrMask1,GainSelect,HG_Gain,LG_Gain,Pedestal,ZS_Threshold_LG,ZS_Threshold_HG,HG_ShapingTime,LG_ShapingTime,HoldDelay,MuxClkPeriod,EHistoNbin,ToAHistoNbin,ToARebin,ToAHistoMin,MCSHistoNbin,AnalogProbe0,DigitalProbe0,ProbeChannel0,AnalogProbe1,DigitalProbe1,ProbeChannel1,TestPulseSource,TestPulseAmplitude,TestPulseDestination,TestPulsePreamp,Tlogic_Mask0_0,Tlogic_Mask1_0,Tlogic_Mask0_1,Tlogic_Mask1_1,Elapsed (s),NumParts,NumTriggers,TotalSize_MB,DebugLogMask
162,06/09/2024 04:14,06/09/2024 04:57,2531.883 s,,Janus 3.6.0,3.3,,6.0 (Build = 8329),2023.11.30.1,32861,,DT5202,400C3101,,,,,,,,Janus_Config.txt,192.168.50.125:tdl:0:0,192.168.50.125:tdl:1:0,192.168.50.125:tdl:2:0,192.168.50.125:tdl:3:0,192.168.50.125:tdl:4:0,,,,45,10.0 mA,4.5,255,TMP37,35,0,TDL,MANUAL,DISABLED,100 ns,10 m,1000,1,5,0 s,0,1,ALL,DataFiles,LSB,0,1 GB,DISABLED,1,1,0,1,1,1,0,0,0,0,0,SPECTROSCOPY,1,T0-IN,DISABLED,T0-IN,DISABLED,SINGLES,100 ns,1,TRIGGER_CNT,MAJ32_AND2,100,1,1 ms,T1-IN,1.0 us,0 ns,ZERO,ZERO,0xFFFFFFFF,0xFFFFFFFF,HG-PA,350,0,1000,0x0,0x40000,250,0,0xFFFFFFFF,0xFFFFFFFF,BOTH,50,50,50,0,0,87.5 ns,87.5 ns,0,300 ns,4K,4K,1,0 ns,4K,OFF,OFF,50,OFF,OFF,50,OFF,200,ALL,BOTH,0x0,0x40000,0x400,0x40000,2531.883,1,129745,1081.25,
163,06/09/2024 05:12,06/09/2024 05:13,65.499 s,,Janus 3.6.0,3.3,,6.0 (Build = 8329),2023.11.30.1,32861,,DT5202,400C3101,,,,,,,,Janus_Config.txt,192.168.50.125:tdl:0:0,192.168.50.125:tdl:1:0,192.168.50.125:tdl:2:0,192.168.50.125:tdl:3:0,192.168.50.125:tdl:4:0,,,,45,10.0 mA,4.5,255,TMP37,35,0,TDL,PRESET_COUNTS,DISABLED,100 ns,10 m,100000,1,5,0 s,0,1,ALL,DataFiles,LSB,0,1 GB,DISABLED,1,1,0,1,1,1,0,0,0,0,0,SPECTROSCOPY,1,T0-IN,DISABLED,T0-IN,DISABLED,SINGLES,100 ns,1,TRIGGER_CNT,MAJ32_AND2,100,1,1 ms,T1-IN,1.0 us,0 ns,ZERO,ZERO,0xFFFFFFFF,0xFFFFFFFF,HG-PA,350,0,1000,0x0,0x40000,250,0,0xFFFFFFFF,0xFFFFFFFF,BOTH,50,50,50,0,0,87.5 ns,87.5 ns,0,300 ns,4K,4K,1,0 ns,4K,OFF,OFF,50,OFF,OFF,50,OFF,200,ALL,BOTH,0x0,0x40000,0x400,0x40000,65.499,1,858,7.15,
164,06/09/2024 05:17,06/09/2024 05:50,2004.695 s,,Janus 3.6.0,3.3,,6.0 (Build = 8329),2023.11.30.1,32861,,DT5202,400C3101,,,,,,,,Janus_Config.txt,192.168.50.125:tdl:0:0,192.168.50.125:tdl:1:0,192.168.50.125:tdl:2:0,192.168.50.125:tdl:3:0,192.168.50.125:tdl:4:0,,,,45,10.0 mA,4.5,255,TMP37,35,0,TDL,PRESET_COUNTS,DISABLED,100 ns,10 m,100000,1,5,0 s,0,1,ALL,DataFiles,LSB,0,1 GB,DISABLED,1,1,0,1,1,1,0,0,0,0,0,SPECTROSCOPY,1,T0-IN,DISABLED,T0-IN,DISABLED,SINGLES,100 ns,1,TRIGGER_CNT,MAJ32_AND2,100,1,1 ms,T1-IN,1.0 us,0 ns,ZERO,ZERO,0xFFFFFFFF,0xFFFFFFFF,HG-PA,350,0,1000,0x0,0x40000,250,0,0xFFFFFFFF,0xFFFFFFFF,BOTH,50,50,50,0,0,87.5 ns,87.5 ns,0,300 ns,4K,4K,1,0 ns,4K,OFF,OFF,50,OFF,OFF,50,OFF,200,ALL,BOTH,0x0,0x40000,0x400,0x40000,2004.695,1,20668,172.21,
165,06/09/2024 05:53,06/09/2024 06:03,577.673 s,,Janus 3.6.0,3.3,,6.0 (Build = 8329),2023.11.30.1,32861,,DT5202,400C3101,,,,,,,,Janus_Config.txt,192.168.50.125:tdl:0:0,192.168.50.125:tdl:1:0,192.168.50.125:tdl:2:0,192.168.50.125:tdl:3:0,192.168.50.125:tdl:4:0,,,,45,10.0 mA,4.5,255,TMP37,35,0,TDL,PRESET_COUNTS,DISABLED,100 ns,10 m,20000,1,5,0 s,0,1,ALL,DataFiles,LSB,0,1 GB,DISABLED,1,1,0,1,1,1,0,0,0,0,0,SPECTROSCOPY,1,T0-IN,DISABLED,T0-IN,DISABLED,SINGLES,100 ns,1,TRIGGER_CNT,MAJ32_AND2,100,1,1 ms,T1-IN,1.0 us,0 ns,ZERO,ZERO,0xFFFFFFFF,0xFFFFFFFF,HG-PA,350,0,1000,0x0,0x40000,250,0,0xFFFFFFFF,0xFFFFFFFF,BOTH,50,50,50,0,0,87.5 ns,87.5 ns,0,300 ns,4K,4K,1,0 ns,4K,OFF,OFF,50,OFF,OFF,50,OFF,200,ALL,BOTH,0x0,0x40000,0x400,0x40000,577.673,1,5778,48.11,
166,06/09/2024 06:06,06/09/2024 06:08,124.554 s,,Janus 3.6.0,3.3,,6.0 (Build = 8329),2023.11.30.1,32861,,DT5202,400C3101,,,,,,,,Janus_Config.txt,192.168.50.125:tdl:0:0,192.168.50.125:tdl:1:0,192.168.50.125:tdl:2:0,192.168.50.125:tdl:3:0,192.168.50.125:tdl:4:0,,,,45,10.0 mA,4.5,255,TMP37,35,0,TDL,PRESET_COUNTS,DISABLED,100 ns,10 m,20000,1,5,0 s,0,1,ALL,DataFiles,LSB,0,1 GB,DISABLED,1,1,0,1,1,1,0,0,0,0,0,SPECTROSCOPY,1,T0-IN,DISABLED,T0-IN,DISABLED,SINGLES,100 ns,1,TRIGGER_CNT,MAJ32_AND2,100,1,1 ms,T1-IN,1.0 us,0 ns,ZERO,ZERO,0xFFFFFFFF,0xFFFFFFFF,HG-PA,350,0,1000,0x0,0x40000,250,0,0xFFFFFFFF,0xFFFFFFFF,BOTH,50,50,50,0,0,87.5 ns,87.5 ns,0,300 ns,4K,4K,1,0 ns,4K,OFF,OFF,50,OFF,OFF,50,OFF,200,ALL,BOTH,0x0,0x40000,0x400,0x40000,124.554,1,1285,10.72,
167,06/09/2024 06:09,06/09/2024 06:12,164.283 s,,Janus 3.6.0,3.3,,6.0 (Build = 8329),2023.11.30.1,32861,,DT5202,400C3101,,,,,,,,Janus_Config.txt,192.168.50.125:tdl:0:0,192.168.50.125:tdl:1:0,192.168.50.125:tdl:2:0,192.168.50.125:tdl:3:0,192.168.50.125:tdl:4:0,,,,45,10.0 mA,4.5,255,TMP37,35,0,TDL,PRESET_COUNTS,DISABLED,100 ns,10 m,20000,1,5,0 s,0,1,ALL,DataFiles,LSB,0,1 GB,DISABLED,1,1,0,1,1,1,0,0,0,0,0,SPECTROSCOPY,1,T0-IN,DISABLED,T0-IN,DISABLED,SINGLES,100 ns,1,TRIGGER_CNT,MAJ32_AND2,100,1,1 ms,T1-IN,1.0 us,0 ns,ZERO,ZERO,0xFFFFFFFF,0xFFFFFFFF,HG-PA,350,0,1000,0x0,0x40000,250,0,0xFFFFFFFF,0xFFFFFFFF,BOTH,50,50,50,0,0,87.5 ns,87.5 ns,0,300 ns,4K,4K,1,0 ns,4K,OFF,OFF,50,OFF,OFF,50,OFF,200,ALL,BOTH,0x0,0x40000,0x400,0x40000,164.283,1,1802,14.95,
168,06/09/2024 06:13,06/09/2024 06:14,54.049 s,,Janus 3.6.0,3.3,,6.0 (Build = 8329),2023.11.30.1,32861,,DT5202,400C3101,,,,,,,,Janus_Config.txt,192.168.50.125:tdl:0:0,192.168.50.125:tdl:1:0,192.168.50.125:tdl:2:0,192.168.50.125:tdl:3:0,192.168.50.125:tdl:4:0,,,,45,10.0 mA,4.5,255,TMP37,35,0,TDL,PRESET_COUNTS,DISABLED,100 ns,10 m,20000,1,5,0 s,0,1,ALL,DataFiles,LSB,0,1 GB,DISABLED,1,1,0,1,1,1,0,0,0,0,0,SPECTROSCOPY,1,T0-IN,DISABLED,T0-IN,DISABLED,SINGLES,100 ns,1,TRIGGER_CNT,MAJ32_AND2,100,1,1 ms,T1-IN,1.0 us,0 ns,ZERO,ZERO,0xFFFFFFFF,0xFFFFFFFF,HG-PA,350,0,1000,0x0,0x40000,250,0,0xFFFFFFFF,0xFFFFFFFF,BOTH,50,50,50,0,0,87.5 ns,87.5 ns,0,300 ns,4K,4K,1,0 ns,4K,OFF,OFF,50,OFF,OFF,50,OFF,200,ALL,BOTH,0x0,0x40000,0x400,0x40000,54.049,1,649,5.41,
169,06/09/2024 06:18,06/09/2024 06:32,826.781 s,,Janus 3.6.0,3.3,,6.0 (Build = 8329),2023.11.30.1,32861,,DT5202,400C3101,,,,,,,,Janus_Config.txt,192.168.50.125:tdl:0:0,192.168.50.125:tdl:1:0,192.168.50.125:tdl:2:0,192.168.50.125:tdl:3:0,192.168.50.125:tdl:4:0,,,,45,10.0 mA,4.5,255,TMP37,35,0,TDL,PRESET_COUNTS,DISABLED,100 ns,10 m,20000,1,5,0 s,0,1,ALL,DataFiles,LSB,0,1 GB,DISABLED,1,1,0,1,1,1,0,0,0,0,0,SPECTROSCOPY,1,T0-IN,DISABLED,T0-IN,DISABLED,SINGLES,100 ns,1,TRIGGER_CNT,MAJ32_AND2,100,1,1 ms,T1-IN,1.0 us,0 ns,ZERO,ZERO,0xFFFFFFFF,0xFFFFFFFF,HG-PA,350,0,1000,0x0,0x40000,250,0,0xFFFFFFFF,0xFFFFFFFF,BOTH,50,50,50,0,0,87.5 ns,87.5 ns,0,300 ns,4K,4K,1,0 ns,4K,OFF,OFF,50,OFF,OFF,50,OFF,200,ALL,BOTH,0x0,0x40000,0x400,0x40000,826.781,1,8372,69.83,
170,06/09/2024 06:59,06/09/2024 06:59,13.959 s,,Janus 3.6.0,3.3,,6.0 (Build = 8329),2023.11.30.1,21382,,DT5202,400C3101,,,,,,,,Janus_Config.txt,192.168.50.125:tdl:0:0,192.168.50.125:tdl:1:0,192.168.50.125:tdl:2:0,192.168.50.125:tdl:3:0,192.168.50.125:tdl:4:0,192.168.50.125:tdl:5:0,192.168.50.125:tdl:6:0,192.168.50.125:tdl:7:0,45,10.0 mA,4.5,255,TMP37,35,0,TDL,PRESET_COUNTS,DISABLED,100 ns,10 m,20000,1,5,0 s,0,1,ALL,DataFiles,LSB,0,1 GB,DISABLED,1,1,0,1,1,1,0,0,0,0,0,SPECTROSCOPY,1,T0-IN,DISABLED,T0-IN,DISABLED,SINGLES,100 ns,1,TRIGGER_CNT,MAJ32_AND2,100,1,1 ms,T1-IN,1.0 us,0 ns,ZERO,ZERO,0xFFFFFFFF,0xFFFFFFFF,HG-PA,350,0,1000,0x0,0x40000,250,0,0xFFFFFFFF,0xFFFFFFFF,BOTH,50,50,50,0,0,87.5 ns,87.5 ns,0,300 ns,4K,4K,1,0 ns,4K,OFF,OFF,50,OFF,OFF,50,OFF,200,ALL,BOTH,0x0,0x40000,0x400,0x40000,13.959,1,1173,15.76,
171,06/09/2024 06:59,06/09/2024 07:00,19.328 s,,Janus 3.6.0,3.3,,6.0 (Build = 8329),2023.11.30.1,21382,,DT5202,400C3101,,,,,,,,Janus_Config.txt,192.168.50.125:tdl:0:0,192.168.50.125:tdl:1:0,192.168.50.125:tdl:2:0,192.168.50.125:tdl:3:0,192.168.50.125:tdl:4:0,192.168.50.125:tdl:5:0,192.168.50.125:tdl:6:0,192.168.50.125:tdl:7:0,45,10.0 mA,4.5,255,TMP37,35,0,TDL,PRESET_COUNTS,DISABLED,100 ns,10 m,20000,1,5,0 s,0,1,ALL,DataFiles,LSB,0,1 GB,DISABLED,1,1,0,1,1,1,0,0,0,0,0,SPECTROSCOPY,1,T0-IN,DISABLED,T0-IN,DISABLED,SINGLES,100 ns,1,TRIGGER_CNT,MAJ32_AND2,100,1,1 ms,T1-IN,1.0 us,0 ns,ZERO,ZERO,0xFFFFFFFF,0xFFFFFFFF,HG-PA,350,0,1000,0x0,0x40000,250,0,0xFFFFFFFF,0xFFFFFFFF,BOTH,50,50,50,0,0,87.5 ns,87.5 ns,0,300 ns,4K,4K,1,0 ns,4K,OFF,OFF,50,OFF,OFF,50,OFF,200,ALL,BOTH,0x0,0x40000,0x400,0x40000,19.328,1,1155,15.52,
